Height(cm),Weight(kg)
167.0812,50.8455
181.6608,61.4205
176.276,68.8635
173.2788,64.053
172.1866,64.935
174.498,55.485
177.292,63.6705
177.8254,61.407
172.466,50.5665
169.6212,54.3015
168.8846,57.3525
171.7548,51.363
173.482,56.5245
170.4848,55.107
173.4312,52.2405
180.5686,63
168.8084,58.275
174.371,64.3365
180.9242,62.055
170.5102,55.818
172.2882,63.576
174.9552,64.593
161.2392,44.055
173.7868,58.275
171.7802,63.8325
170.7134,58.374
179.9336,64.089
171.4246,59.1975
168.9862,48.7485
166.2176,51.2505
176.5808,46.485
167.1574,54.3375
172.2628,56.6055
179.324,61.299
182.372,63.045
175.7934,57.9375
169.672,63.81
171.8564,54.5535
172.2374,59.1075
162.687,48.0195
174.1678,55.962
165.5572,56.187
176.9364,62.8515
172.6438,61.8165
167.5892,47.9025
174.4218,57.942
169.8752,65.556
171.958,52.569
177.3428,64.629
175.4886,60.7185
177.5714,66.159
171.0182,56.8485
178.4858,56.466
175.514,52.0695
166.0652,55.5705
178.2572,66.5505
178.8414,70.155
169.0116,57.6315
168.5544,53.7165
171.5516,60.2145
168.91,57.9285
175.26,61.8975
173.482,58.392
170.2054,57.969
179.8574,60.894
173.2788,49.3245
175.4124,64.1115
172.0342,59.7375
170.7388,46.5885
171.1198,56.1285
165.7858,58.1895
179.9336,60.309
177.5968,63.18
163.2966,46.278
173.355,57.834
168.5544,54.135
173.6344,62.37
166.3192,59.832
177.0888,52.029
172.0342,55.134
174.3456,60.5835
169.6212,54.855
177.927,69.921
168.3512,58.023
175.768,58.095
175.5902,62.7615
171.0944,63.4005
178.0286,59.2155
178.2572,54.504
173.3042,59.1795
173.0502,61.4475
178.4096,63.6705
181.5846,63.2745
175.768,50.463
177.9524,60.057
179.2224,59.31
168.3766,54.0135
161.1122,55.395
169.5958,57.663
174.9806,51.966
164.7698,45.9405
170.4086,58.6575
173.609,60.381
166.6494,44.388
172.1104,51.552
172.7708,55.5705
171.8564,55.3725
168.4274,56.916
176.3776,57.789
162.1536,57.2355
172.0088,54.927
177.927,57.4245
178.2826,59.238
167.513,50.355
177.8254,54.918
174.2694,57.8475
174.7774,59.706
177.1904,61.227
166.2684,52.173
174.8282,61.605
167.132,53.946
170.7134,49.0545
176.3268,57.7215
175.1076,60.8805
172.5676,48.087
166.7002,55.4805
168.91,49.2795
172.5422,53.6895
174.9806,63.108
178.4096,60.291
173.4058,59.661
180.9242,58.815
175.514,52.002
163.576,55.7055
180.594,57.663
173.2788,61.182
167.4368,52.4835
171.2976,57.069
187.706,68.1255
177.7492,58.68
176.5808,61.2945
165.5572,51.03
172.7454,56.3985
173.5836,57.411
165.5572,48.222
173.3804,52.407
174.1678,60.228
163.83,50.8005
174.5234,58.842
174.9806,61.992
176.6316,56.43
171.196,62.3115
168.8592,54.369
167.6654,63.0675
183.9976,61.533
162.8902,47.7495
180.2892,71.532
171.45,48.9555
182.9308,62.451
165.8874,52.1595
170.3832,65.8305
163.5506,49.446
176.1998,62.5725
173.6852,53.955
165.8874,57.7395
170.5356,57.258
173.7106,51.8535
168.3766,56.16
170.6626,57.1275
167.6146,50.0715
176.3522,55.1745
172.6438,55.8945
172.1104,56.0925
165.8112,53.784
187.5282,62.685
169.6974,47.1735
169.9006,55.368
166.9796,53.5005
167.5892,54.6705
169.1132,53.6625
170.4594,60.759
167.3098,52.3035
169.6212,49.1265
174.5996,55.899
168.2242,63.522
167.5384,58.1175
174.1932,57.5415
169.1386,54.414
170.1038,57.4425
172.9232,45.6615
178.2826,65.2455
166.4208,49.9275
171.3484,59.787
171.2214,65.853
176.9364,65.5155
167.132,54.378
167.9194,52.101
173.3296,57.735
172.7708,57.3615
181.3306,57.546
